mesh,degree,m,n,theta,dt,T,omega,omega_dt,E0,ET,ET_over_E0,decay_rate,energy_csv
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314649,2.466656848314076,0.9999999999997677,2.322586567516097e-14,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314649,2.466656848314337,0.9999999999998734,1.265654248072759e-14,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314649,2.466656848314426,0.9999999999999094,9.059419880941689e-15,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314649,0.0002242728694074724,9.092179544986466e-05,0.9305510811596112,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314649,0.01908845934186237,0.007738595400857892,0.4861535080606053,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314649,0.211019426367455,0.08554875661429547,0.2458668812772986,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314649,3.683990222870117e-08,1.49351549462067e-08,1.801954801062799,"../results/dissipation/energy/energy_m1_n1_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314649,0.0001610539300361443,6.529239368912821e-05,0.9636635011021973,"../results/dissipation/energy/energy_m1_n1_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314649,0.01825691333502036,0.00740148081298558,0.4906075188928405,"../results/dissipation/energy/energy_m1_n1_th1_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760229,9.857688472758433,0.9999999999998178,1.821875983410048e-14,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760229,9.857688472759341,0.9999999999999098,9.015010959956678e-15,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760229,9.857688472759659,0.9999999999999422,5.784261958297234e-15,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760229,1.292576732327318e-13,1.31123714844418e-14,3.196522022223216,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760229,8.021366064730367e-08,8.137167335827081e-09,1.862682371063726,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.75,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760229,0.0005852689166237594,5.937182111618097e-05,0.9731690836138637,"../results/dissipation/energy/energy_m2_n2_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760229,4.050032029913761e-22,4.108500731287282e-23,5.154639896248022,"../results/dissipation/energy/energy_m2_n2_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.05,10,8.885765876316732,0.4442882938158366,9.857688472760229,2.136067119041433e-15,2.166904670343389e-16,3.606806175785329,"../results/dissipation/energy/energy_m2_n2_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,1,0.025,10,8.885765876316732,0.2221441469079183,9.857688472760229,4.131845729434866e-08,4.191495542644104e-09,1.929020823527859,"../results/dissipation/energy/energy_m2_n2_th1_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,39.2885339192327,0.9999999999998703,1.296740492762267e-14,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,39.28853391923442,0.9999999999999143,8.570921750106576e-15,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,39.28853391923622,0.9999999999999598,4.019007349143147e-15,"../results/dissipation/energy/energy_m4_n4_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,1.530540429722151e-16,3.895641493949246e-18,4.008667331135341,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,1.307872615740472e-14,3.328891371790453e-16,3.563872216072726,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.75,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,1.647056529725365e-13,4.19220664510181e-15,3.310554915399674,"../results/dissipation/energy/energy_m4_n4_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.1,10,17.77153175263346,1.777153175263346,39.28853391923779,2.51734383636111e-20,6.407324441109987e-22,4.879943026595668,"../results/dissipation/energy/energy_m4_n4_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.05,10,17.77153175263346,0.8885765876316732,39.28853391923779,1.099099890160011e-16,2.797508027200354e-18,4.041780264327374,"../results/dissipation/energy/energy_m4_n4_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,1,0.025,10,17.77153175263346,0.4442882938158366,39.28853391923779,1.249894791838988e-14,3.181322047822639e-16,3.568406463919887,"../results/dissipation/energy/energy_m4_n4_th1_dt0p025_T10.csv"
