step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.5,2.466656848314639,0.999999999999996
20,1,2.466656848314619,0.9999999999999876
30,1.5,2.466656848314601,0.9999999999999803
40,2,2.466656848314575,0.9999999999999701
50,2.5,2.466656848314556,0.9999999999999624
60,3,2.466656848314536,0.9999999999999543
70,3.5,2.466656848314525,0.9999999999999498
80,4,2.466656848314511,0.9999999999999438
90,4.5,2.466656848314492,0.9999999999999365
100,5,2.466656848314481,0.9999999999999317
110,5.5,2.466656848314471,0.9999999999999276
120,6,2.466656848314453,0.9999999999999206
130,6.5,2.466656848314435,0.9999999999999131
140,7,2.466656848314425,0.9999999999999093
150,7.5,2.466656848314409,0.9999999999999027
160,8,2.466656848314385,0.9999999999998931
170,8.5,2.466656848314382,0.9999999999998918
180,9,2.466656848314367,0.9999999999998855
190,9.5,2.466656848314348,0.999999999999878
200,10,2.466656848314337,0.9999999999998734
