step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,1,0.029106584208785,0.002952678438684209
20,2,8.594242741682995e-05,8.718314405483075e-06
30,3,2.5376048228212e-07,2.574239214226914e-08
40,4,7.492735129725792e-10,7.600904766295347e-11
50,5,2.212367854388828e-12,2.2443069290557e-13
60,6,6.53288041633084e-15,6.627193012219003e-16
70,7,1.936626798803717e-17,1.964585109536787e-18
80,8,6.984515089076158e-20,7.085347755081207e-21
90,9,2.304291104799324e-21,2.337557238866674e-22
100,10,4.050032029913761e-22,4.108500731287282e-23
